algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,21.998139800000004,1460.84375,0.5541209778223544,0.571875,0.7272830875223266,"[[ 0  0  1  1  0  0]
 [ 0  0  3  7  1  0]
 [ 1  1 96 36  2  0]
 [ 0  2 46 76  4  0]
 [ 0  2  7 20 11  0]
 [ 0  0  0  3  0  0]]"
GaussianNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,12.511258399999988,1458.53515625,0.5110708550165928,0.50625,0.682243957627776,"[[ 0  1  1  0  0  0]
 [ 0  2  3  6  0  0]
 [ 2  5 79 46  4  0]
 [ 0  7 32 65 24  0]
 [ 0  0  2 22 16  0]
 [ 0  0  0  2  1  0]]"
MultinomialNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,11.704219899999998,1461.515625,0.3899255157866984,0.478125,0.6565682698493356,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  0   0 124  12   0   0]
 [  0   0  99  29   0   0]
 [  0   0  19  21   0   0]
 [  0   0   0   3   0   0]]"
BernoulliNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,15.599521100000004,1462.43359375,0.26748674933230154,0.43125,0.5057143037363294,"[[  0   0   2   0   0   0]
 [  0   0  11   0   0   0]
 [  0   0 136   0   0   0]
 [  0   0 126   1   0   1]
 [  0   0  39   0   1   0]
 [  0   0   3   0   0   0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,15.928194100000013,1475.390625,0.6124125547216078,0.61875,0.7046970923941166,"[[  0   0   2   0   0   0]
 [  0   2   5   4   0   0]
 [  0   1 104  26   5   0]
 [  1   1  32  73  20   1]
 [  1   0   3  17  19   0]
 [  0   0   0   1   2   0]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,67.42011159999998,1491.03515625,0.55147152328022,0.578125,0.7507235466802216,"[[  0   0   2   0   0   0]
 [  0   0   6   3   2   0]
 [  0   1 103  31   1   0]
 [  0   0  45  74   9   0]
 [  0   0   2  30   8   0]
 [  0   0   0   2   1   0]]"
SVC(probability=True),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,45.68118629999998,1512.07421875,0.6033235107930229,0.6125,0.7585757676640036,"[[  0   0   0   2   0   0]
 [  0   2   5   2   2   0]
 [  1   1 100  33   1   0]
 [  0   4  41  75   8   0]
 [  0   0   5  16  19   0]
 [  0   0   0   3   0   0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,15.307271200000002,1507.546875,0.595535850127732,0.596875,0.6963143631351538,"[[ 0  0  2  0  0  0]
 [ 0  0  4  5  2  0]
 [ 0  1 97 31  6  1]
 [ 1  6 27 73 19  2]
 [ 0  1  5 13 21  0]
 [ 0  0  0  0  3  0]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'volatile acidity', 'fixed acidity')",8,69.77740360000001,1511.0625,0.5429763583685907,0.56875,0.7367925728717559,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   1 102  32   1   0]
 [  0   0  47  71  10   0]
 [  0   0   4  27   9   0]
 [  0   0   0   2   1   0]]"
DecisionTreeClassifier(),"('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",8,13.652924400000018,1510.4921875,0.6206435071812196,0.621875,0.7115002016240208,"[[  0   0   2   0   0   0]
 [  0   2   3   4   2   0]
 [  0   1 101  29   4   1]
 [  1   5  27  78  14   3]
 [  0   0   6  15  18   1]
 [  0   0   0   0   3   0]]"
SVC(probability=True),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity', 'fixed acidity')",9,44.446657200000004,1517.90625,0.5958790041520556,0.6,0.7484931728858429,"[[ 0  0  2  0  0  0]
 [ 0  2  3  4  2  0]
 [ 1  6 97 31  1  0]
 [ 0  3 38 76  9  2]
 [ 0  0  6 16 17  1]
 [ 0  0  0  3  0  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'fixed acidity')",8,13.648758599999951,1508.23046875,0.5714025712515489,0.578125,0.6705222872493807,"[[ 0  1  0  1  0  0]
 [ 0  0  4  7  0  0]
 [ 0  2 89 37  8  0]
 [ 0  1 33 79 13  2]
 [ 1  1  4 17 17  0]
 [ 0  0  1  0  2  0]]"
SVC(probability=True),"('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",8,38.19098029999998,1519.19921875,0.606002619606621,0.615625,0.7668698885201213,"[[  0   0   1   1   0   0]
 [  0   3   3   4   1   0]
 [  0   2 102  32   0   0]
 [  0   3  45  75   4   1]
 [  0   0   5  18  17   0]
 [  0   0   0   2   1   0]]"
DecisionTreeClassifier(),"('sulphates', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,14.663112099999978,1514.84375,0.6161564651209026,0.61875,0.7034466708576568,"[[ 0  0  1  1  0  0]
 [ 1  2  5  3  0  0]
 [ 0  2 96 33  5  0]
 [ 1  2 29 80 14  2]
 [ 0  0  3 16 20  1]
 [ 0  0  0  2  1  0]]"
DecisionTreeClassifier(),"('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity')",7,14.802820699999984,1514.83984375,0.6178906603346902,0.61875,0.7060340444408288,"[[ 0  0  0  1  1  0]
 [ 1  0  5  5  0  0]
 [ 0  8 91 32  5  0]
 [ 0  3 30 86  9  0]
 [ 0  3  2 14 21  0]
 [ 0  0  0  2  1  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity')",9,15.096847199999957,1513.84765625,0.6531368449410829,0.659375,0.7344335859647505,"[[  0   0   0   2   0   0]
 [  0   2   2   6   1   0]
 [  3   2 105  24   2   0]
 [  0   2  30  82  14   0]
 [  0   0   6  12  22   0]
 [  0   0   0   1   2   0]]"
DecisionTreeClassifier(),"('sulphates', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity')",5,12.989583999999923,1513.74609375,0.5665770301396784,0.571875,0.6662261836444575,"[[ 0  0  1  0  1  0]
 [ 1  0  6  3  1  0]
 [ 0  6 87 37  6  0]
 [ 0  2 33 77 15  1]
 [ 0  0  9 12 19  0]
 [ 0  0  2  1  0  0]]"
DecisionTreeClassifier(),"('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'fixed acidity')",7,14.861837100000002,1513.87890625,0.5899386849471944,0.59375,0.6855057566428265,"[[ 0  1  0  1  0  0]
 [ 0  0  6  4  1  0]
 [ 0  5 90 35  6  0]
 [ 0  3 30 81 12  2]
 [ 0  0  8 12 19  1]
 [ 0  0  1  0  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity')",8,11.856712700000003,1513.5,0.6337894692907912,0.6375,0.7228173384399118,"[[  0   0   0   2   0   0]
 [  0   0   6   3   2   0]
 [  3   4 100  25   4   0]
 [  1   3  30  81  13   0]
 [  0   1   2  14  23   0]
 [  0   0   0   1   2   0]]"
DecisionTreeClassifier(),"('pH', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity')",6,12.017952499999978,1514.4921875,0.5533872627998568,0.55625,0.6524491224621488,"[[ 0  1  1  0  0  0]
 [ 0  2  5  1  3  0]
 [ 1  4 88 35  7  1]
 [ 0  4 47 69  8  0]
 [ 0  0  8 12 19  1]
 [ 0  0  0  0  3  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity')",7,13.624704400000041,1513.66796875,0.5913587037692096,0.596875,0.687970274101461,"[[ 1  0  1  0  0  0]
 [ 1  0  5  5  0  0]
 [ 0  4 96 31  5  0]
 [ 1  3 31 76 17  0]
 [ 0  1  6 15 18  0]
 [ 0  0  0  2  1  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity')",8,12.994356299999936,1515.66015625,0.626152864960901,0.6375,0.7127148598464291,"[[  0   0   1   0   1   0]
 [  0   1   7   3   0   0]
 [  0   1 101  30   4   0]
 [  0   2  30  83  13   0]
 [  0   0   2  19  19   0]
 [  0   0   0   1   2   0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity')",7,12.80661930000008,1513.203125,0.5909219026850211,0.596875,0.6897068727414604,"[[ 0  1  1  0  0  0]
 [ 1  0  4  5  1  0]
 [ 0  1 98 31  6  0]
 [ 1  4 31 72 19  1]
 [ 0  0  5 14 21  0]
 [ 0  0  0  3  0  0]]"
DecisionTreeClassifier(),"('pH', 'density', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity')",6,13.404513600000087,1514.3046875,0.5888644299688967,0.59375,0.6877849517399499,"[[ 0  1  1  0  0  0]
 [ 1  0  3  5  2  0]
 [ 0  4 88 32 12  0]
 [ 0  1 30 85 10  2]
 [ 0  0 10 12 17  1]
 [ 0  0  0  1  2  0]]"
